area,section,page,address,address_hex,length_hex,type,rio_confidence,description
custom_config,CUSTOM CONFIGURATION AREA—WRITE,167,FFFF F0D5 0008,FFFFF0D50008,4,UI,explicit_or_general,Element 2: Next memory map address for custom area Additional elements follow in order on even 4 hex boundaries. Total at this address: 1024
custom_config,CUSTOM CONFIGURATION AREA—WRITE,167,FFFF F0D5 0FFC,FFFFF0D50FFC,4,UI,explicit_or_general,Element 1023: Last memory map address for custom area Last valid address for this area: FFFF F0D5 0FFF * Data type is determined by the addresses you enter.
custom_data,SCRATCH PAD—READ/WRITE,168,FFFF F0D6 0000,FFFFF0D60000,4,*,explicit_or_general,Element 0: Reads or writes to the memory map address in F0D50000
custom_data,SCRATCH PAD—READ/WRITE,168,FFFF F0D6 0004,FFFFF0D60004,4,*,explicit_or_general,Element 1: Reads or writes to the memory map address in F0D50004
custom_data,SCRATCH PAD—READ/WRITE,168,FFFF F0D6 0008,FFFFF0D60008,4,*,explicit_or_general,Element 2: Reads or writes to the memory map address in F0D50008 Additional elements follow in order on even 4 hex boundaries. Total at this address: 1024
custom_data,SCRATCH PAD—READ/WRITE,168,FFFF F0D6 0FFC,FFFFF0D60FFC,4,*,explicit_or_general,Element 1023: Reads or writes to the memory map address in F0D50FFC Last valid address for this area: FFFF F0D6 0FFF * Data type is determined by the addresses you configured in the Custom Configuration Area (page 167).
scratch_pad,SCRATCH PAD—READ/WRITE,168,FFFF F0D8 0000,FFFFF0D80000,8,M,explicit_or_general,Current state of Scratch Pad bits (mask). 1 = bit on; 0 = bit off.
scratch_pad,SCRATCH PAD—READ/WRITE,168,FFFF F0D8 0400,FFFFF0D80400,8,M,explicit_or_general,Set Scratch Pad On mask. 1 = set bit on; 0 = no change.
scratch_pad,SCRATCH PAD—READ/WRITE,168,FFFF F0D8 0408,FFFFF0D80408,8,M,explicit_or_general,Set Scratch Pad Off mask 1 = set bit off; 0 = no change.
scratch_pad,SCRATCH PAD—READ/WRITE,168,FFFF F0D8 1000,FFFFF0D81000,4,I,explicit_or_general,Scratch Pad 32-bit Integer element 0.
scratch_pad,SCRATCH PAD—READ/WRITE,168,FFFF F0D8 1004,FFFFF0D81004,4,I,explicit_or_general,Scratch Pad 32-bit Integer element 1.
scratch_pad,SCRATCH PAD—READ/WRITE,168,FFFF F0D8 1008,FFFFF0D81008,4,I,explicit_or_general,Scratch Pad 32-bit Integer element 2. Additional 32-bit Integer elements follow in order on even 4 hex boundaries. Total at this address: 1024. Additional 9216 starting at address FFFF F0DA 0000 PR1/2 RIO PAC-R PAC-S EB SB UIO EIO LCE G4EB2
scratch_pad,SCRATCH PAD—READ/WRITE,169,FFFF F0D8 1FFC,FFFFF0D81FFC,4,I,explicit_or_general,Scratch Pad 32-bit Integer element 1023.
scratch_pad,SCRATCH PAD—READ/WRITE,169,FFFF F0D8 2000,FFFFF0D82000,4,F,explicit_or_general,Scratch Pad float element 0.
scratch_pad,SCRATCH PAD—READ/WRITE,169,FFFF F0D8 2004,FFFFF0D82004,4,F,explicit_or_general,Scratch Pad float element 1.
